,store,antecedent,consequent,lift
159,3509,7792157,7502157,1148.342664369796
160,3509,6452109,5042109,1139.5092592592594
161,3509,760888,180930,1130.3196684587813
162,3609,6410353,6400353,1100.5877830584288
163,3509,3170556,150930,1096.91690626797
164,3609,6072521,6062521,1093.5562499999999
165,3509,3103309,2044365,1085.0658882402001
166,3509,150930,160930,1082.2913475177304
167,3509,1098342,998342,1081.3710317460316
168,3509,7903513,2044365,1079.965696051057
169,3609,6410353,6400353,1074.3303737079248
170,3509,8352157,7502157,1069.1466185511892
171,3509,8702108,9862108,1058.6408602150539
172,3609,6400353,6370353,1056.5586069980975
173,3509,3220556,150930,1054.1798839458413
174,3509,150930,160930,1049.659559023682
175,3509,978342,998342,1048.1335167714883
176,3509,6782521,6792521,1042.463141025641
177,3509,760888,9862108,1032.8203514293207
178,3609,6410353,6370353,1023.4765371116599
179,3609,8142644,8122644,1020.3567444219066
180,3609,6440353,6450353,1019.2151453078991
181,3509,858342,978342,1015.8832547169811
182,3609,6340353,6300353,1009.4365384615384
183,3609,6440353,6460353,1008.0149788759443
184,3509,3170556,150930,1001.069797953293
185,3509,150930,480888,987.722200647249
186,3509,2950556,6892574,984.536
187,3509,2950556,480888,984.536
188,3509,2950556,6892574,984.536
189,3509,2950556,480888,984.536
190,3509,3170556,6892574,984.536
191,3509,3170556,480888,984.536
192,3509,480888,6892574,984.536
193,3509,2950556,3170556,984.536
194,3509,2950556,6892574,984.536
195,3509,3170556,480888,984.536
196,3509,3170556,6892574,984.536
197,3509,6892574,170888,984.536
198,3509,480888,6892574,984.536
199,3509,2950556,3170556,984.536
200,3509,2950556,3170556,984.536
201,3509,2950556,480888,984.536
202,3509,3170556,480888,984.536
203,3509,2950556,3170556,984.536
204,3509,2950556,3170556,984.536
205,3509,3170556,6892574,984.536
206,3509,480888,6892574,984.536
207,3509,2950556,3220556,984.536
208,3509,6892574,170888,984.536
209,3509,2950556,6892574,984.536
210,3509,2950556,3220556,984.536
211,3509,2950556,6892574,984.536
212,3509,3170556,3220556,984.536
213,3509,3170556,6892574,984.536
214,3509,3220556,6892574,984.536
215,3509,2950556,6892574,984.536
216,3509,2950556,6892574,984.536
217,3509,6892574,170888,984.536
218,3509,3170556,3220556,984.536
219,3509,3170556,6892574,984.536
220,3509,3220556,6892574,984.536
221,3509,2950556,6892574,984.536
222,3509,2950556,3220556,984.536
223,3509,3170556,3220556,984.536
224,3509,2950556,6892574,984.536
225,3509,2950556,480888,984.536
226,3509,2950556,6892574,984.536
227,3509,3170556,480888,984.536
228,3509,3170556,6892574,984.536
229,3509,2950556,3170556,984.536
230,3509,2950556,3170556,984.536
231,3509,2950556,480888,984.536
232,3509,3170556,480888,984.536
233,3509,2950556,3170556,984.536
234,3509,2950556,3170556,984.536
235,3509,2950556,3170556,984.536
236,3509,2950556,480888,984.536
237,3509,3170556,480888,984.536
238,3509,2950556,3170556,984.536
239,3509,3170556,6892574,984.536
240,3509,2950556,3170556,984.536
241,3509,2950556,3170556,984.536
242,3509,2950556,480888,984.536
243,3509,3170556,480888,984.536
244,3509,2950556,3170556,984.536
245,3509,2950556,3170556,984.536
246,3509,2950556,3170556,984.536
247,3509,2950556,3170556,984.536
248,3509,2950556,3170556,984.536
249,3509,3170556,480888,984.536
250,3509,2950556,480888,984.536
251,3509,2950556,3170556,984.536
252,3509,480888,6892574,984.536
253,3509,2950556,3170556,984.536
254,3509,2950556,3170556,984.536
255,3509,2950556,480888,984.536
256,3509,3170556,480888,984.536
257,3509,2950556,3170556,984.536
258,3509,2950556,3170556,984.536
259,3509,2950556,480888,984.536
260,3509,3170556,480888,984.536
261,3509,2950556,3170556,984.536
262,3509,2950556,3170556,984.536
263,3509,2950556,6892574,984.536
264,3509,2950556,480888,984.536
265,3509,3170556,6892574,984.536
266,3509,3170556,480888,984.536
267,3509,480888,6892574,984.536
268,3509,2950556,3170556,984.536
269,3509,3220556,6892574,984.536
270,3509,6892574,3220556,984.536
271,3509,6892574,170888,984.536
272,3509,3220556,150930,984.536
273,3509,3170556,150930,984.536
274,3509,150930,6892574,984.536
275,3509,2950556,150930,984.536
276,3509,150930,170888,984.536
277,3509,3170556,6892574,984.536
278,3509,3220556,6892574,984.536
279,3509,6892574,6422574,984.536
280,3509,2950556,150930,984.536
281,3509,3220556,6892574,984.536
282,3509,2950556,150930,984.536
283,3509,3170556,6892574,984.536
284,3509,2950556,150930,984.536
285,3509,3220556,150930,984.536
286,3509,2950556,6892574,984.536
287,3509,3170556,150930,984.536
288,3509,150930,6892574,984.536
289,3509,3170556,150930,984.536
290,3509,3220556,6892574,984.536
291,3509,3170556,6892574,984.536
292,3509,2950556,6892574,984.536
293,3509,3170556,150930,984.536
294,3509,2950556,150930,984.536
295,3509,150930,170888,984.536
296,3509,3220556,150930,984.536
297,3509,2950556,150930,984.536
298,3509,150930,170888,984.536
299,3509,3220556,150930,984.536
300,3509,3170556,150930,984.536
301,3509,2950556,6892574,984.536
302,3609,6490353,6480353,981.0521640521641
303,3509,3170556,160930,963.6466279363474
304,3509,3220556,150930,962.0670785525153
305,3509,8702108,760888,960.5229268292682
306,3509,6792521,6762521,960.0151315789475
307,3509,4318362,4648362,954.0077519379845
308,3509,8552157,7522157,948.8158730158729
309,3509,2950556,150930,933.0097823428711
310,3509,3220556,160930,926.1019541206456
311,3609,8142644,8132644,924.6982996323529
312,3509,6782521,6792521,915.6770833333334
313,3509,858342,1098342,913.2987012987013
314,3509,9862108,180930,910.6588044860677
315,3509,978342,1098342,900.3746630727765
316,3509,6782521,6762521,886.3551246537396
317,3509,760888,9862108,882.2007168458781
318,3609,8122644,8132644,861.769870923913
319,3609,978342,1098342,851.8451801363193
320,3509,2950556,150930,851.4846557303872
321,3509,9694364,2044365,849.8263786130019
322,3509,8702108,180930,846.912688172043
323,3609,6470353,6480353,832.2688580455078
324,3509,4316677,4286677,831.5337837837837
325,3509,4316677,928363,831.5337837837837
326,3509,4286677,4336677,831.5337837837837
327,3509,4316677,4286677,831.5337837837837
328,3509,928363,4336677,831.5337837837837
329,3509,4316677,928363,831.5337837837837
330,3509,3170556,3220556,824.8815135135134
331,3509,2950556,3220556,824.8815135135134
332,3509,2950556,6892574,824.8815135135134
333,3509,2950556,3220556,824.8815135135134
334,3509,3170556,6892574,824.8815135135134
335,3509,8702108,760888,820.4466666666666
336,3509,8702108,7952108,820.4466666666666
337,3509,2950556,160930,819.6534536470082
338,3509,6892574,160930,813.8830933333331
339,3509,6892574,480888,813.8830933333331
340,3509,858342,978342,812.706603773585
341,3509,3220556,6892574,792.7432727272726
342,3509,4286677,928363,769.1687499999999
343,3609,8142644,8122644,769.125239769821
344,3609,6490353,6470353,760.1433667169708
345,3509,928363,668363,754.7917640186918
346,3509,6152521,6112521,738.1955117449664
347,3509,6152521,6092521,735.2348345588235
348,3509,6082521,6152521,721.5913015463917
349,3509,6742521,6642521,715.6899284648242
350,3509,2950556,6892574,701.623356321839
351,3509,6072521,6032521,693.9868421052631
352,3509,6082521,6112521,684.7644696839327
353,3509,9708362,578363,672.0565749235475
354,3509,6742521,6752521,658.1122994652407
355,3509,150930,6892574,649.3748085106382
356,3509,4318362,4648362,641.4034695852879
357,3509,928363,668363,635.5293918918918
358,3509,6072521,6062521,628.1777450090743
359,3509,6742521,6642521,615.0928374655648
360,3509,4318362,5168362,601.6265102311614
361,3609,518363,578363,598.6481752251725
362,3509,6082521,6152521,598.2423611111111
363,3509,150930,6892574,592.6333203883495
364,3509,6642521,6752521,590.2118241235888
365,3509,9848362,578363,589.8048747090238
366,3509,6072521,6032521,588.4093864749082
367,3509,668363,9648362,576.8765625
368,3509,6892574,160930,570.4788037383177
369,3509,9848362,9708362,553.9618573797679
370,3509,4648362,5168362,551.9053110385034
371,3509,928363,9648362,545.6940456081081
372,3509,4898362,4318362,525.1792318634425
373,3509,6032521,6062521,518.1248997594225
374,3509,4898362,5168362,490.95135772247164
375,3609,6208362,5938362,460.7272471622865
376,3509,518363,9578362,415.5837615621788
377,3509,4898362,6738362,382.6923326835608
378,3509,3524026,3978011,195.07903079710147
379,3609,3988011,2716578,184.7334841628959
380,3609,3988011,3898011,104.8666187191474
381,3609,3898011,3968011,104.10395240118997
382,3609,3690654,3898011,100.35054459352803
383,3509,3898011,3968011,91.31030482898437
384,3409,3690654,3968011,83.2124863949013
385,3409,3898011,3968011,80.34192578468758
386,3509,3978011,3898011,71.39811002889626
387,3409,3998011,2726578,66.8122357293869
388,3609,5528349,8798636,65.10168561495819
389,3509,3898011,3998011,60.07889746333953
390,3609,2783996,8798636,56.60102273151431
391,3509,3524026,3898011,56.22887657013539
392,3409,3898011,2726578,52.318576126715655
393,3509,3524026,3978011,48.2421096252492
394,3409,3978011,3898011,47.42556123420519
395,3409,3690654,3898011,45.5632390782664
396,3609,3524026,3898011,41.539330301272855
397,3409,3898011,3998011,38.58630952380952
398,3509,3524026,803921,34.82750288438513
399,3409,803921,3898011,34.18461199294532
400,3409,3524026,3898011,33.19626854313825
401,3609,3524026,3978011,29.252407481712396
402,3409,3524026,3978011,28.86684750694871
403,3509,5268597,4992993,14.828265570934256
404,3509,4108011,5268597,13.72914173113414
405,3509,5268597,803921,13.25493786246893
406,3609,4108011,5268597,13.171120351134045
407,3509,3161221,5268597,12.834204401184932
408,3609,5268597,6318344,12.511412004587742
409,3609,5268597,1832285,11.302423446470282
410,3509,5268597,1832285,11.301928547047444
411,3609,5268597,3998011,11.167442025388269
412,3609,5268597,2726578,10.826707021791767
413,3609,5268597,803921,10.570857667395712
414,3509,5268597,3978011,10.366744813867575
415,3509,5268597,3524026,10.22987544322211
416,3509,5268597,3998011,10.089526542324247
417,3409,4108011,5268597,10.072706105587022
418,3609,5268597,3978011,9.822140084137054
419,3409,5268597,6318344,9.77174681589881
420,3609,5268597,726718,9.768457463270767
421,3509,5268597,3898011,9.673013177557397
422,3409,5268597,3559555,9.488334581626109
423,3609,5268597,3524026,9.245482455553624
424,3409,5268597,1832285,8.540137971932696
425,3409,5268597,3524026,8.537997184072337
426,3409,5268597,3998011,8.220795205888205
427,3409,4976322,5268597,8.073302185197102
428,3409,5268597,4138348,8.023782684614195
429,3409,5268597,726718,7.920234468696305
430,3409,5268597,2698353,7.771378924667722
431,3409,5268597,803921,7.75613221934885
432,3409,3690654,5268597,7.6949391319660725
433,3409,5268597,3978011,7.584728839587564
434,3409,5268597,2726578,6.9465941001046785
435,3409,3868338,5268597,6.571923572839557
436,3409,5268597,3968011,6.505936730158173
437,3409,3161221,5268597,5.300262952234986
438,3409,5268597,3898011,5.033627275148063
